,name,review_count,FSA,price_range,take_out,success,Visible_Minority_Population_Pct,South_Asian_Pct,Chinese_Pct,Black_Pct,Filipino_Pct,Latin American_Pct,Arab_Pct,South_East_Asian_Pct,West_Asian_Pct,Korean_Pct,Japanese_Pct,Not_Visible_Minority_Population_Pct,Population,Population_Average_Age,Age:0-19,Age:20-39,Age:40-59,Age:60plus,Median Income,Commute:Drive,Commute:Walk_Bus_Bike,NonImmigrants,Immigrants,House_Owner_Pct,House_Renter_Pct,Median_Monthly_Rent,Median_Monthly_Buy,Restaurant_Density,L4K,L6A,M1B,M1C,M1E,M1G,M1H,M1J,M1K,M1L,M1M,M1N,M1P,M1R,M1S,M1T,M1V,M1W,M1X,M2H,M2J,M2K,M2L,M2M,M2N,M2P,M2R,M3A,M3B,M3C,M3H,M3J,M3K,M3L,M3M,M3N,M4A,M4B,M4C,M4E,M4G,M4H,M4J,M4K,M4L,M4M,M4N,M4P,M4R,M4S,M4T,M4V,M4W,M4X,M4Y,M5A,M5B,M5C,M5E,M5G,M5H,M5J,M5M,M5N,M5P,M5R,M5S,M5T,M5V,M6A,M6B,M6C,M6E,M6G,M6H,M6J,M6K,M6L,M6M,M6N,M6P,M6R,M6S,M8V,M8W,M8X,M8Y,M8Z,M9A,M9B,M9C,M9L,M9M,M9N,M9P,M9R,M9V,M9W,Bakeries,Bars,Breakfast/Brunch,Chinese,Coffee/Tea,Desserts,Japanese,Korean,Mexican,Misc,Non-Visible Minority Foods,South East Asian,Specialty,Vegetarian/Vegan,West Asian,avg_hours_in_week
414,Porta Nova Restaurant,6,M6H,2,0,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.786
415,ChocoSol Traders,3,M6H,2,0,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.714
416,Food Basics,6,M6H,2,1,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0
417,BarBurrito - Dufferin Mall,10,M6H,2,1,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.571
418,Baddies,68,M6H,2,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.857
419,Sunshine Wholesome Market,17,M6H,2,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.571
420,The Emerson,114,M6H,3,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.786
421,Health Service Centre,4,M6H,2,0,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.714
422,Anti Vice Juicery,9,M6H,2,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.429
423,The Lansdowne Cone,24,M6H,1,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.714
424,The Mexi-Can Taqueria,8,M6H,1,1,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.643
425,The Slow Room,10,M6H,2,0,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.714
426,The Common,44,M6H,1,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.0
427,Joe's No Frills,33,M6H,1,0,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.786
428,Bloorcourt Village Market,15,M6H,2,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.786
429,Albion's Pizza Shawarma,30,M6H,1,1,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.0
430,Kitch,32,M6H,2,1,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.0
431,Intergalactic Travel Authority,9,M6H,1,0,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.143
432,Burdock,61,M6H,2,0,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.143
433,The Candy Bar,13,M6H,1,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.429
434,The Common II,34,M6H,1,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.0
435,D-Beatstro,28,M6H,1,1,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.143
436,Pray Tell,54,M6H,2,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.714
437,Ciro's,33,M6H,2,1,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0
438,David's Tea,4,M6H,2,0,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.5
439,Bake Shoppe,32,M6H,2,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.571
440,Stop BBQ Chicken,8,M6H,1,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.429
441,Billy's Souvlaki Place,32,M6H,1,1,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.214
442,Alma,5,M6H,1,0,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.571
443,Ilhas De Bruma,19,M6H,3,0,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.286
444,Janer's Bakery,7,M6H,1,0,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.429
445,Aziza Cafe,58,M6H,2,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.143
446,Karelia Kitchen,86,M6H,2,1,0,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.286
447,Rush Hour,41,M6H,2,1,1,13905.0,2465.0,3035.0,2200.0,760.0,2155.0,235.0,1015.0,190.0,455.0,320.0,30465.0,44950.0,39.5,6980.0,18255.0,11780.0,7925.0,50652.0,8250.0,15020.0,25430.0,17260.0,9000.0,10180.0,1205.0,1448.0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.643
